statistical_zone_clean,n_food
01,299
09,218
04,184
33,183
57,176
06,171
03,169
05,146
38,146
12,138
11,133
16,121
24,120
59,117
53,114
61,114
19,113
20,111
56,100
10,99
07,97
48,97
08,97
50,97
17,96
63,91
23,91
26,90
51,82
35,78
29,77
58,75
79,73
42,71
62,70
45,70
55,69
25,69
39,68
22,66
90,65
13,64
32,63
43,63
41,60
30,55
52,54
78,53
34,52
65,51
37,49
44,48
60,47
68,47
40,45
47,44
18,44
66,42
70,40
89,40
91,40
46,33
54,33
64,32
31,30
27,29
14,28
21,28
15,24
09bis,24
36,23
72,23
17bis,21
77,21
69,19
28,19
71,18
67,16
49,13
75,12
02,9
85,9
73,9
87,8
80,6
83,6
74,5
76,5
92,5
84,2
82,2
88,2
86,1
