statistical_zone_clean,category_group,n_stores
01,somministrazione,299
02,somministrazione,9
03,somministrazione,169
04,somministrazione,184
05,somministrazione,146
06,somministrazione,171
07,somministrazione,97
08,somministrazione,97
09,somministrazione,218
09bis,somministrazione,24
10,somministrazione,99
11,somministrazione,133
12,somministrazione,138
13,somministrazione,64
14,somministrazione,28
15,somministrazione,24
16,somministrazione,121
17,somministrazione,96
17bis,somministrazione,21
18,somministrazione,44
19,somministrazione,113
20,somministrazione,111
21,somministrazione,28
22,somministrazione,66
23,somministrazione,91
24,somministrazione,120
25,somministrazione,69
26,somministrazione,90
27,somministrazione,29
28,somministrazione,19
29,somministrazione,77
30,somministrazione,55
31,somministrazione,30
32,somministrazione,63
33,somministrazione,183
34,somministrazione,52
35,somministrazione,78
36,somministrazione,23
37,somministrazione,49
38,somministrazione,146
39,somministrazione,68
40,somministrazione,45
41,somministrazione,60
42,somministrazione,71
43,somministrazione,63
44,somministrazione,48
45,somministrazione,70
46,somministrazione,33
47,somministrazione,44
48,somministrazione,97
49,somministrazione,13
50,somministrazione,97
51,somministrazione,82
52,somministrazione,54
53,somministrazione,114
54,somministrazione,33
55,somministrazione,69
56,somministrazione,100
57,somministrazione,176
58,somministrazione,75
59,somministrazione,117
60,somministrazione,47
61,somministrazione,114
62,somministrazione,70
63,somministrazione,91
64,somministrazione,32
65,somministrazione,51
66,somministrazione,42
67,somministrazione,16
68,somministrazione,47
69,somministrazione,19
70,somministrazione,40
71,somministrazione,18
72,somministrazione,23
73,somministrazione,9
74,somministrazione,5
75,somministrazione,12
76,somministrazione,5
77,somministrazione,21
78,somministrazione,53
79,somministrazione,73
80,somministrazione,6
82,somministrazione,2
83,somministrazione,6
84,somministrazione,2
85,somministrazione,9
86,somministrazione,1
87,somministrazione,8
88,somministrazione,2
89,somministrazione,40
90,somministrazione,65
91,somministrazione,40
92,somministrazione,5
