neighborhood,female,male,total_population,neighborhood_clean
 1 Centro              ,20840,21404,42244,1 centro
 2 San Salvario        ,18426,16551,34977,2 san salvario
 3 Crocetta            ,18334,15675,34009,3 crocetta
 4 San Paolo           ,17505,15847,33352,4 san paolo
 5 Cenisia             ,19379,17477,36856,5 cenisia
 6 San Donato          ,25909,23472,49381,6 san donato
 7 Aurora              ,20001,19691,39692,7 aurora
 8 Vanchiglia          ,16165,13770,29935,8 vanchiglia
 9 Nizza millefonti    ,14662,13100,27762,9 nizza millefonti
10 Mercati generali    ,24886,22238,47124,10 mercati generali
11 Santa Rita          ,29680,25505,55185,11 santa rita
12 Mirafiori Nord      ,22279,19751,42030,12 mirafiori nord
13 Pozzo Strada        ,29681,26078,55759,13 pozzo strada
14 Parella             ,24915,22270,47185,14 parella
15 Le Vallette         ,21059,19658,40717,15 le vallette
16 Madonna di Campagna ,21362,20243,41605,16 madonna di campagna
17 Borgata Vittoria    ,21086,19414,40500,17 borgata vittoria
18 Barriera di Milano  ,25284,25221,50505,18 barriera di milano
19 Falchera            ,13361,12609,25970,19 falchera
20 Regio Parco         ,15042,13757,28799,20 regio parco
21 Madonna del Pilone  ,7736,6858,14594,21 madonna del pilone
22 Borgo Po e Cavoretto,10708,9239,19947,22 borgo po e cavoretto
23 Mirafiori Sud       ,17810,16378,34188,23 mirafiori sud
