quartiere_id,quartiere_name,quartiere_name_clean
1,Centro,centro
2,San Salvario,san salvario
3,Crocetta,crocetta
8,Vanchiglia,vanchiglia
7,Aurora,aurora
22,Borgo Po e Cavoretto,borgo po e cavoretto
21,Madonna del Pilone,madonna del pilone
6,San Donato,san donato
5,Cenisia,cenisia
16,Madonna di Campagna,madonna di campagna
17,Borgata Vittoria,borgata vittoria
13,Pozzo Strada,pozzo strada
18,Barriera di Milano,barriera di milano
20,Regio Parco,regio parco
19,Falchera,falchera
15,Le Valette,le valette
23,Mirafiori Sud,mirafiori sud
10,Mercati generali,mercati generali
14,Parella,parella
4,San Paolo,san paolo
11,Santa Rita,santa rita
9,Nizza millefonti,nizza millefonti
12,Mirafiori Nord,mirafiori nord
