activity_id,source_commercial_activity_id,store_name,category_name,category_group,quartiere_id,x_coord,y_coord,address
1,EP,,Somministrazione,somministrazione,5,1394537.871,4991843.047,VIA PIETRO PALMIERI 61/A
2,EP,,Somministrazione,somministrazione,10,1393970.003,4987972.322,VIA PASQUALE PAOLI 26/A
3,EP,,Somministrazione,somministrazione,15,1392773.455,4994671.188,VIA PIANEZZA 212/F
4,EP,,Somministrazione,somministrazione,5,1394041.603,4990876.168,CORSO PESCHIERA 138 bis/D
5,EP,,Somministrazione,somministrazione,4,1393966.78,4990868.407,CORSO PESCHIERA 145/A
6,EP,,Somministrazione,somministrazione,1,1397393.321,4991088.464,VIA MATTEO PESCATORE 10/C
7,EP,,Somministrazione,somministrazione,1,1397460.862,4991024.444,VIA MATTEO PESCATORE 16/F
8,EP,,Somministrazione,somministrazione,1,1397484.379,4991002.431,VIA MATTEO PESCATORE 18/F
9,EP,,Somministrazione,somministrazione,3,1395564.293,4990337.6,VIA PASTRENGO 3 bis/B
10,EP,,Somministrazione,somministrazione,10,1393140.617,4986992.528,VIA PASSO BUOLE 168
11,EP,,Somministrazione,somministrazione,10,1393081.743,4987022.437,VIA PASSO BUOLE 176/A
12,EP,,DIA di somministrazione,somministrazione,1,1395505.213,4992005.638,CORSO PALESTRO 14
13,EP,,Somministrazione,somministrazione,1,1395483.448,4991905.541,CORSO PALESTRO 15/C
14,EP,,Somministrazione,somministrazione,18,1397078.39,4994166.766,VIA PIER LUIGI PALESTRINA 19
15,EP,,Somministrazione,somministrazione,6,1394780.204,4992523.703,PIAZZA AMEDEO PEYRON 5 scala B
16,EP,,Somministrazione,somministrazione,7,1397145.67,4993264.212,LARGO PALERMO 73/C
17,EP,,Somministrazione,somministrazione,18,1397181.192,4993525.54,CORSO PALERMO 93/L
18,EP,,DIA di somministrazione,somministrazione,18,1397180.144,4993508.591,CORSO PALERMO 93
19,EP,,Somministrazione,somministrazione,15,1392739.02,4995488.193,VIA DELLE PERVINCHE 10/F
20,EP,,Somministrazione,somministrazione,12,1392219.072,4987879.758,VIA PUBLIO ELVIO PERTINACE 49/D
21,EP,,Somministrazione,somministrazione,7,1397237.32864583,4992611.759375,VIA PERUGIA 26/B
