population_id,quartiere_id,year,total_residents,male_residents,female_residents
1,1,2023,42244,21404,20840
2,2,2023,34977,16551,18426
3,3,2023,34009,15675,18334
4,4,2023,33352,15847,17505
5,5,2023,36856,17477,19379
6,6,2023,49381,23472,25909
7,7,2023,39692,19691,20001
8,8,2023,29935,13770,16165
9,9,2023,27762,13100,14662
10,10,2023,47124,22238,24886
11,11,2023,55185,25505,29680
12,12,2023,42030,19751,22279
13,13,2023,55759,26078,29681
14,14,2023,47185,22270,24915
15,15,2023,40717,19658,21059
16,16,2023,41605,20243,21362
17,17,2023,40500,19414,21086
18,18,2023,50505,25221,25284
19,19,2023,25970,12609,13361
20,20,2023,28799,13757,15042
21,21,2023,14594,6858,7736
22,22,2023,19947,9239,10708
23,23,2023,34188,16378,17810
