"Quartiere","Femmine","Maschi"
" 1 Centro              ",20840,21404
" 2 San Salvario        ",18426,16551
" 3 Crocetta            ",18334,15675
" 4 San Paolo           ",17505,15847
" 5 Cenisia             ",19379,17477
" 6 San Donato          ",25909,23472
" 7 Aurora              ",20001,19691
" 8 Vanchiglia          ",16165,13770
" 9 Nizza millefonti    ",14662,13100
"10 Mercati generali    ",24886,22238
"11 Santa Rita          ",29680,25505
"12 Mirafiori Nord      ",22279,19751
"13 Pozzo Strada        ",29681,26078
"14 Parella             ",24915,22270
"15 Le Vallette         ",21059,19658
"16 Madonna di Campagna ",21362,20243
"17 Borgata Vittoria    ",21086,19414
"18 Barriera di Milano  ",25284,25221
"19 Falchera            ",13361,12609
"20 Regio Parco         ",15042,13757
"21 Madonna del Pilone  ",7736,6858
"22 Borgo Po e Cavoretto",10708,9239
"23 Mirafiori Sud       ",17810,16378
