WKT_GEOM;C_COMP_MERC;INDIRIZZ;CARRAIO;FRONTE;INSEGNA;ANNO_INI;MESE_INI;TIPO_MER;DESC_RIP;DETT_RIP;CAT_MER;PREVALEN;TIPO_LOC;MQ_TOT_L;MQ_TOT_V;TIPO_ADD;NOME_ADD;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;COORD_X;COORD_Y
POINT (1394537.871 4991843.047);EP;VIA PIETRO PALMIERI 61/A;No;No;;2007;2;             .;Somministrazione;D;Nessuna;;52031;65;;N;;760;17;3;199;10138;1394537,871;4991843,047
POINT (1394037.565 4988072.34);AE;VIA PASQUALE PAOLI 9;Si;No;;2009;7;             .;Acconciatori/estetisti;Acconciatori;Nessuna;;59229;47;.;N;NEGOZIO;2201;56;8;799;10134;1394037,565;4988072,34
POINT (1394037.565 4988072.34);CF;VIA PASQUALE PAOLI 9;Si;No;;2012;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Bigiotteria;S;120875;47;2;N;NEGOZIO;2201;56;8;799;10134;1394037,565;4988072,34
POINT (1393970.003 4987972.322);EP;VIA PASQUALE PAOLI 26/A;No;No;;2019;5;             .;Somministrazione;B;Nessuna;;50537;65;;N;;2200;56;8;795;10134;1393970,003;4987972,322
POINT (1393970.003 4987972.322);CF;VIA PASQUALE PAOLI 26/A;No;No;;2023;11;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari annessi ad altra attività;S;156427;95;5;N;;2200;56;8;795;10134;1393970,003;4987972,322
POINT (1392773.455 4994671.188);EP;VIA PIANEZZA 212/F;No;No;;2011;2;ALTRO;Somministrazione;U;Nessuna;;112908;73;;N;;4326;48;5;481;10151;1392773,455;4994671,188
POINT (1394068.699 4990860.877);CF;CORSO PESCHIERA 138/A;No;No;;2020;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;147959;75;36;N;NEGOZIO;1480;33;3;241;10138;1394068,699;4990860,877
POINT (1394068.699 4990860.877);CF;CORSO PESCHIERA 138/A;No;No;;2016;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Tabacchi;S;32891;43;18;N;NEGOZIO;1480;33;3;241;10138;1394068,699;4990860,877
POINT (1394068.699 4990860.877);CF;CORSO PESCHIERA 138/A;No;No;;2016;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;32891;43;18;N;NEGOZIO;1480;33;3;241;10138;1394068,699;4990860,877
POINT (1394068.699 4990860.877);CFE;CORSO PESCHIERA 138/A;No;No;;2016;10;EXTRALIMENTARI;GIORNALI;Vendita non esclusiva di quotidiani e periodici;Quotidiani e periodici;S;127099;40;20;N;;1480;33;3;241;10138;1394068,699;4990860,877
POINT (1394052.552 4990869.981);AE;CORSO PESCHIERA 138/F;No;No;;1980;3;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;60094;0;.;;;1480;33;3;241;10138;1394052,552;4990869,981
POINT (1394041.603 4990876.168);EP;CORSO PESCHIERA 138 bis/D;No;No;;1994;8;ALTRO;Somministrazione;A+B;Nessuna;;46069;135;;N;;1480;33;3;241;10138;1394041,603;4990876,168
POINT (1394015.543 4990891.164);CF;CORSO PESCHIERA 142 bis/D;No;No;;2021;10;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;150503;40;35;N;NEGOZIO;3292;33;3;240;10138;1394015,543;4990891,164
POINT (1394015.543 4990891.164);CF;CORSO PESCHIERA 142 bis/D;No;No;;2018;12;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;142516;.;56;N;NEGOZIO;3292;33;3;240;10138;1394015,543;4990891,164
POINT (1394015.543 4990891.164);CF;CORSO PESCHIERA 142 bis/D;No;No;;2017;8;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Panetteria;S;20944;30;24;N;NEGOZIO;3292;33;3;240;10138;1394015,543;4990891,164
POINT (1394015.543 4990891.164);CF;CORSO PESCHIERA 142 bis/D;No;No;;2017;8;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;20944;30;24;N;NEGOZIO;3292;33;3;240;10138;1394015,543;4990891,164
POINT (1393966.78 4990868.407);EP;CORSO PESCHIERA 145/A;No;No;;2024;1;             .;Somministrazione;U;Nessuna;;133030;33;;N;;1509;33;3;242;10141;1393966,78;4990868,407
POINT (1393945.385 4990879.267);AE;CORSO PESCHIERA 145;No;No;;2015;5;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;132509;48;.;N;;1509;33;3;242;10141;1393945,385;4990879,267
POINT (1392112.358 4985843.132);AE;VIA CESARE PAVESE 2/E;No;No;;2019;2;             .;Acconciatori/estetisti;Acconciatori;Nessuna;;58528;31;.;N;;3832;90;2;891;10135;1392112,358;4985843,132
POINT (1392125.359 4985835.791);CF;VIA CESARE PAVESE 4;No;No;;2018;8;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;141631;86;50;N;NEGOZIO;3832;90;2;891;10135;1392125,359;4985835,791
POINT (1392138.199 4985828.542);CF;VIA CESARE PAVESE 6/B;No;No;;1987;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;6898;41;.;;NEGOZIO;3832;90;2;891;10135;1392138,199;4985828,542
POINT (1394598.172 4991959.835);CF;VIA PIETRO PALMIERI 47;No;No;;2013;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Abbigliamento;S;127240;200;180;N;NEGOZIO;754;17;3;199;10138;1394598,172;4991959,835
POINT (1394112.141 4994060.085);CF;VIA PIANEZZA 59/B;No;No;;2024;3;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Bibite;S;136826;80;1;N;NEGOZIO;1947;47;5;0;10149;1394112,141;4994060,085
POINT (1394069.644 4994101.582);CF;VIA PIANEZZA 63/G;No;No;;2024;10;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Minimercato;S;159653;26;26;N;;1946;47;5;478;10149;1394069,644;4994101,582
POINT (1394024.355 4994165.003);CF;VIA PIANEZZA 68/B;No;No;;2008;4;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Macelleria;S;39576;86;46;N;NEGOZIO;1942;47;5;478;10149;1394024,355;4994165,003
POINT (1394033.054 4994137.285);CF;VIA PIANEZZA 71/A;No;No;;2025;10;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Pizza al taglio;S;162731;62;22;N;;1946;47;5;478;10149;1394033,054;4994137,285
POINT (1394033.054 4994137.285);CF;VIA PIANEZZA 71/A;No;No;;2017;5;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;138428;62;21;N;NEGOZIO;1946;47;5;478;10149;1394033,054;4994137,285
POINT (1394033.054 4994137.285);CF;VIA PIANEZZA 71/A;No;No;;2015;5;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Pizza al taglio;S;132575;64;21;N;NEGOZIO;1946;47;5;478;10149;1394033,054;4994137,285
POINT (1393951.874 4994216.215);CF;VIA PIANEZZA 83;Si;No;;2023;1;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;147802;.;15;N;NEGOZIO;4503;47;5;478;10149;1393951,874;4994216,215
POINT (1393951.874 4994216.215);CF;VIA PIANEZZA 83;Si;No;;2023;1;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;147802;.;15;N;NEGOZIO;4503;47;5;478;10149;1393951,874;4994216,215
POINT (1397393.071 4991105.358);CF;VIA MATTEO PESCATORE 7/G;No;No;;2017;5;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;112291;40;40;N;NEGOZIO;222;06;1;27;10124;1397393,071;4991105,358
POINT (1397393.321 4991088.464);EP;VIA MATTEO PESCATORE 10/C;No;No;;2021;10;             .;Somministrazione;B;Nessuna;;49273;80;;N;;225;06;1;27;10124;1397393,321;4991088,464
POINT (1397393.321 4991088.464);CF;VIA MATTEO PESCATORE 10/C;No;No;;2021;11;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari annessi ad altra attività;S;150682;108;2;N;NEGOZIO;225;06;1;27;10124;1397393,321;4991088,464
POINT (1397393.321 4991088.464);CF;VIA MATTEO PESCATORE 10/C;No;No;;2012;8;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;12705;100;2;N;NEGOZIO;225;06;1;27;10124;1397393,321;4991088,464
POINT (1397393.321 4991088.464);CF;VIA MATTEO PESCATORE 10/C;No;No;;2012;8;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;N;12705;100;2;N;NEGOZIO;225;06;1;27;10124;1397393,321;4991088,464
POINT (1397421.705 4991078.206);CF;VIA MATTEO PESCATORE 11/D;No;No;;2020;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;145664;76;62;N;;222;06;1;27;10124;1397421,705;4991078,206
POINT (1397460.862 4991024.444);EP;VIA MATTEO PESCATORE 16/F;No;No;;1998;3;ALTRO;Somministrazione;A;Nessuna;;49357;78;;N;;226;06;1;27;10124;1397460,862;4991024,444
POINT (1397484.379 4991002.431);EP;VIA MATTEO PESCATORE 18/F;No;No;;2024;8;             .;Somministrazione;U;Nessuna;;130931;50;;N;;226;06;1;27;10124;1397484,379;4991002,431
POINT (1397484.379 4991002.431);EP;VIA MATTEO PESCATORE 18/F;No;No;;2012;4;             .;Somministrazione;U;Nessuna;;115919;23;;N;;226;06;1;27;10124;1397484,379;4991002,431
