"WKT_GEOM","ID_FERMATA","FERMATA","COORD_X","COORD_Y"
"POINT (1390954.17742443 4992160.90169133)",1,"MARCHE","1390954,17742443","4992160,90169133"
"POINT (1391424.32047932 4992182.24285621)",2,"MASSAUA","1391424,32047932","4992182,24285621"
"POINT (1392109.75124683 4992209.49822005)",3,"POZZO STRADA","1392109,75124683","4992209,49822005"
"POINT (1392693.96741906 4992232.62209167)",4,"MONTE GRAPPA","1392693,96741906","4992232,62209167"
"POINT (1393697.51257021 4992272.82737157)",5,"RACCONIGI","1393697,51257021","4992272,82737157"
"POINT (1393320.93203742 4992256.35675004)",6,"RIVOLI","1393320,93203742","4992256,35675004"
"POINT (1394190.04176119 4992291.48273991)",7,"BERNINI","1394190,04176119","4992291,48273991"
"POINT (1394868.11560447 4992319.16887933)",8,"PRINCIPI D'ACAJA","1394868,11560447","4992319,16887933"
"POINT (1395203.3427522 4992054.05377907)",9,"XVIII DICEMBRE","1395203,3427522","4992054,05377907"
"POINT (1395004.36091098 4991322.24271103)",10,"VINZAGLIO","1395004,36091098","4991322,24271103"
"POINT (1395662.49226517 4990974.8550333)",11,"RE UMBERTO","1395662,49226517","4990974,8550333"
"POINT (1396021.02490261 4990787.16899832)",12,"PORTA NUOVA","1396021,02490261","4990787,16899832"
"POINT (1395856.41280193 4990165.66077056)",13,"MARCONI","1395856,41280193","4990165,66077056"
"POINT (1395680.994355 4989609.38844818)",14,"NIZZA","1395680,994355","4989609,38844818"
"POINT (1395529.75044061 4989091.35713238)",15,"DANTE","1395529,75044061","4989091,35713238"
"POINT (1395227.03225014 4988045.72668098)",16,"SPEZIA","1395227,03225014","4988045,72668098"
"POINT (1394998.08675627 4987267.49139429)",17,"LINGOTTO","1394998,08675627","4987267,49139429"
"POINT (1395368.08079128 4988528.19668599)",18,"CARDUCCI","1395368,08079128","4988528,19668599"
"POINT (1394927.36700699 4991646.09335874)",19,"PORTA SUSA","1394927,36700699","4991646,09335874"
